ds,yhat,yhat_lower,yhat_upper,Country
2020-01-22,0.0,0.0,17188.87630479507,US
2020-01-23,0.0,0.0,19929.891404854145,US
2020-01-24,0.0,0.0,19701.215777368987,US
2020-01-25,0.0,0.0,20964.717373549098,US
2020-01-26,0.0,0.0,22835.729087447227,US
2020-01-27,0.0,0.0,22431.039651486983,US
2020-01-28,0.0,0.0,24039.69858450411,US
2020-01-29,0.0,0.0,25812.75971401716,US
2020-01-30,747.590044994379,0.0,25931.95093637048,US
2020-01-31,1414.1800023036337,0.0,26686.47034521567,US
2020-02-01,2007.7238401112807,0.0,25580.5829829774,US
2020-02-02,2524.6744480513034,0.0,24600.27060836447,US
2020-02-03,2955.5470912948845,0.0,29481.145613036937,US
2020-02-04,3323.1337223327823,0.0,27546.111363546803,US
2020-02-05,3631.935202354871,0.0,28380.83316043057,US
2020-02-06,3880.1995685760567,0.0,29130.053250628745,US
2020-02-07,4075.724443186002,0.0,28287.601242557004,US
2020-02-08,4273.032326523382,0.0,29497.521303690668,US
2020-02-09,4432.604693120506,0.0,29431.082807555755,US
2020-02-10,4528.280059961237,0.0,29265.297528716048,US
2020-02-11,4613.235240931737,0.0,29187.616051326568,US
2020-02-12,4684.550506013188,0.0,29998.646655763107,US
2020-02-13,4729.103544467778,0.0,29224.229167871385,US
2020-02-14,4753.68520825466,0.0,29612.386296068646,US
2020-02-15,4842.984183634208,0.0,29345.52195699615,US
2020-02-16,4915.023391788441,0.0,31304.51071702313,US
2020-02-17,4921.69220848364,0.0,30262.36972783312,US
2020-02-18,4942.593645066267,0.0,29380.400382994074,US
2020-02-19,4964.792842348196,0.0,27790.561359545394,US
2020-02-20,4962.568559302442,0.0,30551.17169844879,US
2020-02-21,4941.797142476558,0.0,27794.931119723642,US
2020-02-22,5018.657678619202,0.0,29434.204117398363,US
2020-02-23,5071.14254488666,0.0,29827.29621381215,US
2020-02-24,5032.562100267105,0.0,28037.882468844644,US
2020-02-25,5013.069305923965,0.0,29999.27365360525,US
2020-02-26,4994.383714343831,0.0,31079.068987493392,US
2020-02-27,4943.181219006564,0.0,30720.978551382745,US
2020-02-28,4869.523681677306,0.0,28342.521360714964,US
2020-02-29,5015.193093950966,0.0,29339.829622058573,US
2020-03-01,5129.1490738971115,0.0,29737.703855186643,US
2020-03-02,5125.17683078788,0.0,28634.54401151976,US
2020-03-03,5152.483512572195,0.0,30087.5571526823,US
2020-03-04,5190.592710853268,0.0,29744.271881536868,US
2020-03-05,5197.783639968053,0.0,31363.954467608317,US
2020-03-06,5190.22767454391,0.0,29863.71940021333,US
2020-03-07,5379.332395007616,0.0,31640.722828210408,US
2020-03-08,5552.727522625856,0.0,31586.565463626393,US
2020-03-09,5598.864604872752,0.0,30691.24525035575,US
2020-03-10,5716.287329604314,0.0,28458.034539265762,US
2020-03-11,5875.789501127794,0.0,30732.267488348458,US
2020-03-12,6021.398756177169,0.0,31539.28950547881,US
2020-03-13,6171.563079594081,0.0,30241.295624263046,US
2020-03-14,6588.698628916045,0.0,28821.54835460602,US
2020-03-15,6997.933289624849,0.0,31906.65581570412,US
2020-03-16,7256.844531524633,0.0,30864.912158430958,US
2020-03-17,7608.045355185746,0.0,32418.113264488333,US
2020-03-18,8008.841571244314,0.0,33741.352335187425,US
2020-03-19,8384.974518319323,0.0,35117.51188034886,US
2020-03-20,8754.042395151499,0.0,34483.31563707723,US
2020-03-21,9427.400020206482,0.0,34746.416350172425,US
2020-03-22,10066.765875113311,0.0,34632.798084775095,US
2020-03-23,10499.157748620524,0.0,35578.49235343552,US
2020-03-24,11012.80549069768,0.0,35587.32319658441,US
2020-03-25,11554.269979815112,0.0,37545.2517294156,US
2020-03-26,12034.859928091328,0.0,37456.94219321694,US
2020-03-27,12476.159081617296,0.0,35189.95987599174,US
2020-03-28,13244.109844224624,0.0,36260.06162317335,US
2020-03-29,13943.282984098918,0.0,37403.08315700461,US
2020-03-30,14376.785072165618,0.0,38799.64232432414,US
2020-03-31,14885.255403928,0.0,39513.95712590182,US
