Country/Region,Confirmed_Cases,Log_Cases,ISO_Alpha
Afghanistan,209451,5.32108451167655,AFG
Albania,334457,5.524341588431283,ALB
Algeria,271496,5.433765035064298,DZA
Andorra,47890,4.6802539055318055,
Angola,105288,5.022383000921082,AGO
Antarctica,11,1.0791812460476249,
Antigua and Barbuda,9106,3.9593753365758433,
Argentina,10044957,7.001948125215042,ARG
Armenia,447308,5.6506076364043025,
Australia,11399460,7.05688431710316,AUS
Austria,5961143,6.775329612963522,AUT
Azerbaijan,828825,5.918463366290419,
Bahamas,37491,4.573938608354228,
Bahrain,710693,5.851682648947576,BHR
Bangladesh,2037871,6.309176902222195,BGD
Barbados,106798,5.028567186245767,
Belarus,994037,5.997402986887119,
Belgium,4739365,6.675720248611334,BEL
Belize,70757,4.849775548923395,
Benin,27999,4.447158031342219,BEN
Bhutan,62627,4.796768542903085,
Bolivia,1194277,6.077105432164261,BOL
Bosnia and Herzegovina,401729,5.603934264761215,BIH
Botswana,329758,5.518196657431437,BWA
Brazil,37076053,7.5690935060221305,BRA
Brunei,279661,5.446633459179985,
Bulgaria,1297523,6.11311539963893,BGR
Burkina Faso,22056,4.343546443188257,BFA
Burma,633950,5.8020556912381895,MMR
Burundi,53631,4.729423992614164,BDI
Cabo Verde,63244,4.801026196911208,
Cambodia,138719,5.142139080132135,KHM
Cameroon,124392,5.094795941874826,CMR
Canada,4617069,6.664366458996295,CAN
Central African Republic,15368,4.1866456105960035,CAF
Chad,7679,3.8853612200315117,TCD
Chile,5192286,6.715358689776804,CHL
China,3381708,6.5291362333233325,CHN
Colombia,6359093,6.803395244763386,COL
Comoros,9008,3.9546765869186435,COM
Congo (Brazzaville),25087,4.399466041004344,COG
Congo (Kinshasa),95749,4.98113878264066,COD
Costa Rica,1209725,6.082687014809628,CRI
Cote d'Ivoire,88263,4.945783605170587,CIV
Croatia,1269326,6.1035735180768755,HRV
Cuba,1112643,6.046356230312128,CUB
Cyprus,650685,5.813371462661079,
Czechia,4618256,6.664478097177133,
Denmark,3451036,6.537949615567839,DNK
Djibouti,15690,4.195650622404186,DJI
Dominica,15760,4.197583769035777,
Dominican Republic,660790,5.820064119244295,DOM
Ecuador,1057121,6.02412511111944,ECU
Egypt,515759,5.712447657203049,EGY
El Salvador,201785,5.304891031407024,SLV
Equatorial Guinea,17229,4.236285277448029,GNQ
Eritrea,10189,4.008174184006426,ERI
Estonia,615433,5.789181485418912,
Eswatini,74267,4.870801728740439,
Ethiopia,500116,5.699071617356524,ETH
Fiji,68898,4.8382129186038005,
Finland,1463644,6.165435753473256,FIN
France,39866718,7.600610495034643,FRA
Gabon,48981,4.690036513970213,GAB
Gambia,12598,4.100336075933696,GMB
Georgia,1827537,6.261866416009507,
Germany,38249060,7.582620777855018,DEU
Ghana,171229,5.233579856679016,GHA
Greece,5548487,6.744174651101107,GRC
Grenada,19680,4.294047161343715,
Guatemala,1238247,6.0928076351889855,GTM
Guinea,38267,4.582835765290584,GIN
Guinea-Bissau,8960,3.9523564773237907,GNB
Guyana,73075,4.863774767122329,
Haiti,34202,4.53406420039254,HTI
Holy See,29,1.4771212547196624,VAT
Honduras,472250,5.674172886221234,HND
Hungary,2196804,6.341791508362244,HUN
Iceland,209137,5.320432950516961,ISL
India,44690738,7.650217536154398,IND
Indonesia,6738225,6.828545573119857,IDN
Iran,7572311,6.879228499782888,IRN
Iraq,2465545,6.391913109629194,IRQ
Ireland,1704502,6.231597769942909,IRL
Israel,4803824,6.681587177973446,ISR
Italy,25603510,7.408299524037358,ITA
Jamaica,154416,5.188695110765095,JAM
Japan,33320438,7.522710714644162,JPN
Jordan,1746997,6.242292407793772,JOR
Kazakhstan,1498668,6.17570572401105,
Kenya,342937,5.535215610737406,KEN
Kiribati,5014,3.700270937356437,
"Korea, North",1,0.3010299956639812,
"Korea, South",30615522,7.485941682817121,KOR
Kosovo,273312,5.436660289189888,XKX
Kuwait,663860,5.822077155795136,KWT
Kyrgyzstan,206708,5.31535938598987,
Laos,218023,5.338504303209471,LAO
Latvia,976255,5.989563716036582,
Lebanon,1232828,6.090902841797192,LBN
Lesotho,34790,4.541466911881834,LSO
Liberia,8090,3.9080022011725535,LBR
Libya,507187,5.705168969646085,LBY
Liechtenstein,21432,4.331082963961029,
Lithuania,1307448,6.1164247572329575,
Luxembourg,317367,5.501563135008523,
Madagascar,67889,4.831805808674391,MDG
Malawi,88707,4.947962787804507,MWI
Malaysia,5044718,6.702836980256143,MYS
Maldives,185738,5.26890310302072,
Mali,33062,4.519342257110044,MLI
Malta,117610,5.0704479426235345,
Marshall Islands,15649,4.194514341882467,
Mauritania,63668,4.803928028788101,MRT
Mauritius,296042,5.471354796553589,MUS
Mexico,7483444,6.874101571134867,MEX
Micronesia,23948,4.379287383990714,FSM
Moldova,611140,5.786141420483795,MDA
Monaco,16121,4.207418916816812,
Mongolia,1007900,6.003417876092428,MNG
Montenegro,288808,5.460610722794537,MNE
Morocco,1272490,6.104654719367021,MAR
Mozambique,233214,5.36775648008237,MOZ
Namibia,171156,5.23339466566616,NAM
Nauru,5247,3.719993826367604,
Nepal,1001154,6.000501320669611,NPL
Netherlands,8712835,6.9401595394713125,NLD
New Zealand,2236114,6.349494134894676,NZL
Nicaragua,15655,4.194680812649945,NIC
Niger,9508,3.9781348473982896,NER
Nigeria,266598,5.425858516063225,NGA
North Macedonia,346852,5.540145455150417,
Norway,1479506,6.170117024281499,NOR
Oman,399449,5.601462425494622,OMN
Pakistan,1577411,6.1979451403533,PAK
Palau,5991,3.77757180469141,
Panama,1031731,6.013566900744156,PAN
Papua New Guinea,46825,4.670487060790351,
Paraguay,808401,5.90762737929637,PRY
Peru,4487553,6.652009687605522,PER
Philippines,4077452,6.610388963713959,PHL
Poland,6444960,6.809220293677623,POL
Portugal,5570473,6.7458921515159,PRT
Qatar,495090,5.694685031591304,
Romania,3346046,6.524532036954318,ROU
Russia,22075858,7.343917611533944,RUS
Rwanda,133194,5.124487922182883,RWA
Saint Kitts and Nevis,6597,3.8194123112093252,KNA
Saint Lucia,30004,4.477193631102115,
Saint Vincent and the Grenadines,9589,3.9818186071706636,
Samoa,16607,4.220317336168364,
San Marino,23616,4.373224729594474,
Sao Tome and Principe,6281,3.798097932062486,STP
Saudi Arabia,830127,5.919145062746785,SAU
Senegal,88926,4.94903364140571,SEN
Serbia,2500142,6.397964849605959,SRB
Seychelles,50665,4.7047166187864375,
Sierra Leone,7760,3.889917683436206,SLE
Singapore,2235294,6.349334846670534,SGP
Slovakia,2667551,6.426112894110732,
Slovenia,1331707,6.124409008700064,SVN
Solomon Islands,24575,4.390511198351418,
Somalia,27324,4.436560170621741,SOM
South Africa,4067067,6.609281433721993,ZAF
South Sudan,18368,4.264085514155395,
Spain,13770429,7.138947501891744,ESP
Sri Lanka,672039,5.827395123146503,LKA
Sudan,63829,4.805024844429806,SDN
Summer Olympics 2020,865,2.937517892017347,
Suriname,82467,4.916285462254459,
Sweden,2699339,6.4312575903083005,SWE
Switzerland,4413911,6.644823670398953,CHE
Syria,57467,4.759426083090233,SYR
Taiwan*,9970937,6.998736015790309,TWN
Tajikistan,17786,4.250102705064626,
Tanzania,42906,4.632528150305392,TZA
Thailand,4728182,6.674694277169339,THA
Timor-Leste,23419,4.369586890736344,
Togo,39396,4.595463152458813,TGO
Tonga,16810,4.2255935481548,
Trinidad and Tobago,189918,5.278568414881234,TTO
Tunisia,1151126,6.061123240533818,TUN
Turkey,17042722,7.231538985348261,TUR
Tuvalu,2805,3.448087666692341,
US,103802702,8.016208662594332,USA
Uganda,170544,5.231838991381994,UGA
Ukraine,5711929,6.756782876499208,
United Arab Emirates,1053213,6.022516623394851,
United Kingdom,24658705,7.391970282648821,GBR
Uruguay,1034303,6.014648204249505,URY
Uzbekistan,251247,5.400102613344283,
Vanuatu,12014,4.079723775139919,
Venezuela,552162,5.742067301553154,VEN
Vietnam,11526994,7.061716104778456,VNM
West Bank and Gaza,703228,5.8470967720206115,PSE
Winter Olympics 2022,535,2.72916478969277,
Yemen,11945,4.077222510411053,
Zambia,343135,5.535466284308491,ZMB
Zimbabwe,264276,5.422059368172452,ZWE
