Date,Global_Confirmed,Daily_New_Cases,Rolling_7day_Avg
2020-01-22,557,0.0,
2020-01-23,657,100.0,
2020-01-24,944,287.0,
2020-01-25,1437,493.0,
2020-01-26,2120,683.0,
2020-01-27,2929,809.0,
2020-01-28,5580,2651.0,717.5714285714286
2020-01-29,6169,589.0,801.7142857142857
2020-01-30,8237,2068.0,1082.857142857143
2020-01-31,9927,1690.0,1283.2857142857142
2020-02-01,12038,2111.0,1514.4285714285713
2020-02-02,16787,4749.0,2095.285714285714
2020-02-03,19887,3100.0,2422.5714285714284
2020-02-04,23899,4012.0,2617.0
2020-02-05,27644,3745.0,3067.8571428571427
2020-02-06,30806,3162.0,3224.1428571428573
2020-02-07,34339,3533.0,3487.4285714285716
2020-02-08,37070,2731.0,3576.0
2020-02-09,40098,3028.0,3330.1428571428573
2020-02-10,42636,2538.0,3249.8571428571427
2020-02-11,44679,2043.0,2968.5714285714284
2020-02-12,45057,378.0,2487.5714285714284
2020-02-13,60209,15152.0,4200.428571428572
2020-02-14,66694,6485.0,4622.142857142857
2020-02-15,68770,2076.0,4528.571428571428
2020-02-16,70883,2113.0,4397.857142857143
2020-02-17,72819,1936.0,4311.857142857143
2020-02-18,74613,1794.0,4276.285714285715
2020-02-19,75034,421.0,4282.428571428572
2020-02-20,75582,548.0,2196.1428571428573
2020-02-21,76212,630.0,1359.7142857142858
2020-02-22,77974,1762.0,1314.857142857143
2020-02-23,78299,325.0,1059.4285714285713
2020-02-24,78867,568.0,864.0
2020-02-25,79721,854.0,729.7142857142857
2020-02-26,80679,958.0,806.4285714285714
2020-02-27,82023,1344.0,920.1428571428571
2020-02-28,83447,1424.0,1033.5714285714287
2020-02-29,85318,1871.0,1049.142857142857
2020-03-01,87697,2379.0,1342.5714285714287
2020-03-02,89677,1980.0,1544.2857142857142
2020-03-03,92288,2611.0,1795.2857142857142
2020-03-04,94632,2344.0,1993.2857142857142
2020-03-05,97372,2740.0,2192.714285714286
2020-03-06,101356,3984.0,2558.4285714285716
2020-03-07,105493,4137.0,2882.1428571428573
2020-03-08,109291,3798.0,3084.8571428571427
2020-03-09,113586,4295.0,3415.5714285714284
2020-03-10,118345,4759.0,3722.4285714285716
2020-03-11,125821,7476.0,4455.571428571428
2020-03-12,132577,6756.0,5029.285714285715
2020-03-13,145769,13192.0,6344.714285714285
2020-03-14,156657,10888.0,7309.142857142857
2020-03-15,167890,11233.0,8371.285714285714
2020-03-16,182457,14567.0,9838.714285714286
2020-03-17,197625,15168.0,11325.714285714286
2020-03-18,215179,17554.0,12765.42857142857
2020-03-19,242266,27087.0,15669.857142857143
2020-03-20,271795,29529.0,18003.714285714286
2020-03-21,304222,32427.0,21080.714285714286
2020-03-22,338431,34209.0,24363.0
2020-03-23,380986,42555.0,28361.285714285714
2020-03-24,422869,41883.0,32177.714285714286
2020-03-25,474350,51481.0,37024.42857142857
2020-03-26,535164,60814.0,41842.57142857143
2020-03-27,599095,63931.0,46757.142857142855
2020-03-28,668675,69580.0,52064.71428571428
2020-03-29,725191,56516.0,55251.42857142857
2020-03-30,790202,65011.0,58459.42857142857
2020-03-31,867103,76901.0,63462.0
2020-04-01,953325,86222.0,68425.0
2020-04-02,1035727,82402.0,71509.0
2020-04-03,1119884,84157.0,74398.42857142857
2020-04-04,1179944,60060.0,73038.42857142857
2020-04-05,1251615,71671.0,75203.42857142857
2020-04-06,1326268,74653.0,76580.85714285714
2020-04-07,1395178,68910.0,75439.28571428571
2020-04-08,1477228,82050.0,74843.28571428571
2020-04-09,1564368,87140.0,75520.14285714286
2020-04-10,1650757,86389.0,75839.0
2020-04-11,1726252,75495.0,78044.0
2020-04-12,1844784,118532.0,84738.42857142857
2020-04-13,1916583,71799.0,84330.71428571429
2020-04-14,2001229,84646.0,86578.71428571429
2020-04-15,2079435,78206.0,86029.57142857143
2020-04-16,2173845,94410.0,87068.14285714286
2020-04-17,2261669,87824.0,87273.14285714286
2020-04-18,2339876,78207.0,87660.57142857143
2020-04-19,2416154,76278.0,81624.28571428571
2020-04-20,2492587,76433.0,82286.28571428571
2020-04-21,2568640,76053.0,81058.71428571429
2020-04-22,2650637,81997.0,81600.28571428571
2020-04-23,2733330,82693.0,79926.42857142857
2020-04-24,2816862,83532.0,79313.28571428571
2020-04-25,2900039,83177.0,80023.28571428571
2020-04-26,2970808,70769.0,79236.28571428571
2020-04-27,3041767,70959.0,78454.28571428571
2020-04-28,3117559,75792.0,78417.0
2020-04-29,3194862,77303.0,77746.42857142857
2020-04-30,3278481,83619.0,77878.71428571429
2020-05-01,3367407,88926.0,78649.28571428571
2020-05-02,3445661,78254.0,77946.0
2020-05-03,3519679,74018.0,78410.14285714286
2020-05-04,3597322,77643.0,79365.0
2020-05-05,3676992,79670.0,79919.0
2020-05-06,3767394,90402.0,81790.28571428571
2020-05-07,3856526,89132.0,82577.85714285714
2020-05-08,3946993,90467.0,82798.0
2020-05-09,4031321,84328.0,83665.71428571429
2020-05-10,4106525,75204.0,83835.14285714286
2020-05-11,4182660,76135.0,83619.71428571429
2020-05-12,4267925,85265.0,84419.0
2020-05-13,4352265,84340.0,83553.0
2020-05-14,4447896,95631.0,84481.42857142857
2020-05-15,4543787,95891.0,85256.28571428571
2020-05-16,4637665,93878.0,86620.57142857143
2020-05-17,4716016,78351.0,87070.14285714286
2020-05-18,4805130,89114.0,88924.28571428571
2020-05-19,4900932,95802.0,90429.57142857143
2020-05-20,5006339,105407.0,93439.14285714286
2020-05-21,5112281,105942.0,94912.14285714286
2020-05-22,5219588,107307.0,96543.0
2020-05-23,5323710,104122.0,98006.42857142857
2020-05-24,5416890,93180.0,100124.85714285714
2020-05-25,5505073,88183.0,99991.85714285714
2020-05-26,5597406,92333.0,99496.28571428571
2020-05-27,5699934,102528.0,99085.0
2020-05-28,5819904,119970.0,101089.0
2020-05-29,5941335,121431.0,103106.71428571429
2020-05-30,6076374,135039.0,107523.42857142857
2020-05-31,6179231,102857.0,108905.85714285714
2020-06-01,6279479,100248.0,110629.42857142857
2020-06-02,6402113,122634.0,114958.14285714286
2020-06-03,6513325,111212.0,116198.71428571429
2020-06-04,6651551,138226.0,118806.71428571429
2020-06-05,6784955,133404.0,120517.14285714286
2020-06-06,6914283,129328.0,119701.28571428571
2020-06-07,7025291,111008.0,120865.71428571429
2020-06-08,7128337,103046.0,121265.42857142857
2020-06-09,7254299,125962.0,121740.85714285714
2020-06-10,7391456,137157.0,125447.28571428571
2020-06-11,7527639,136183.0,125155.42857142857
2020-06-12,7655113,127474.0,124308.28571428571
2020-06-13,7789014,133901.0,124961.57142857143
2020-06-14,7920954,131940.0,127951.85714285714
2020-06-15,8045848,124894.0,131073.0
2020-06-16,8189741,143893.0,133634.57142857142
2020-06-17,8332938,143197.0,134497.42857142858
2020-06-18,8476024,143086.0,135483.57142857142
2020-06-19,8657017,180993.0,143129.14285714287
2020-06-20,8842893,185876.0,150554.14285714287
2020-06-21,8935951,93058.0,144999.57142857142
2020-06-22,9078277,142326.0,147489.85714285713
2020-06-23,9246394,168117.0,150950.42857142858
2020-06-24,9417828,171434.0,154984.2857142857
2020-06-25,9597342,179514.0,160188.2857142857
2020-06-26,9789828,192486.0,161830.14285714287
2020-06-27,9966229,176401.0,160476.57142857142
2020-06-28,10134681,168452.0,171247.14285714287
2020-06-29,10287358,152677.0,172725.85714285713
2020-06-30,10471128,183770.0,174962.0
2020-07-01,10686254,215126.0,181203.7142857143
2020-07-02,10891222,204968.0,184840.0
2020-07-03,11093856,202634.0,186289.7142857143
2020-07-04,11283566,189710.0,188191.0
2020-07-05,11469780,186214.0,190728.42857142858
2020-07-06,11638042,168262.0,192954.85714285713
2020-07-07,11847598,209556.0,196638.57142857142
2020-07-08,12062878,215280.0,196660.57142857142
2020-07-09,12287469,224591.0,199463.85714285713
2020-07-10,12520347,232878.0,203784.42857142858
2020-07-11,12733163,212816.0,207085.2857142857
2020-07-12,12926090,192927.0,208044.2857142857
2020-07-13,13120562,194472.0,211788.57142857142
2020-07-14,13341584,221022.0,213426.57142857142
2020-07-15,13571366,229782.0,215498.2857142857
2020-07-16,13816276,244910.0,218401.0
2020-07-17,14053691,237415.0,219049.14285714287
2020-07-18,14289018,235327.0,222265.0
2020-07-19,14500867,211849.0,224968.14285714287
2020-07-20,14708999,208132.0,226919.57142857142
2020-07-21,14952015,243016.0,230061.57142857142
2020-07-22,15227349,275334.0,236569.0
2020-07-23,15506965,279616.0,241527.0
2020-07-24,15790439,283474.0,248106.85714285713
2020-07-25,16039940,249501.0,250131.7142857143
2020-07-26,16251698,211758.0,250118.7142857143
2020-07-27,16486071,234373.0,253867.42857142858
2020-07-28,16749948,263877.0,256847.57142857142
2020-07-29,17020206,270258.0,256122.42857142858
2020-07-30,17301978,281772.0,256430.42857142858
2020-07-31,17589465,287487.0,257003.7142857143
2020-08-01,17835718,246253.0,256539.7142857143
2020-08-02,18066313,230595.0,259230.7142857143
2020-08-03,18272365,206052.0,255184.85714285713
2020-08-04,18537650,265285.0,255386.0
2020-08-05,18812782,275132.0,256082.2857142857
2020-08-06,19099465,286683.0,256783.85714285713
2020-08-07,19381885,282420.0,256060.0
2020-08-08,19647098,265213.0,258768.57142857142
2020-08-09,19880082,232984.0,259109.85714285713
2020-08-10,20113266,233184.0,262985.85714285716
2020-08-11,20378814,265548.0,263023.4285714286
2020-08-12,20653866,275052.0,263012.0
2020-08-13,20943940,290074.0,263496.4285714286
2020-08-14,21250985,307045.0,267014.28571428574
2020-08-15,21499992,249007.0,264699.14285714284
2020-08-16,21710018,210026.0,261419.42857142858
2020-08-17,21922864,212846.0,258514.0
