Province/State,Country/Region,Lat,Long,Confirmed_Cases,Risk_Score,Risk_Score_Norm,Risk_Tier
Afghanistan,Afghanistan,33.93911,67.709953,209451,5.32108451167655,0.6637906690860086,High
Albania,Albania,41.1533,20.1683,334457,5.524341588431283,0.6891464308070304,High
Alberta,Canada,53.9333,-116.5765,629269,5.798837027560258,0.7233889824524037,High
Algeria,Algeria,28.0339,1.6596,271496,5.433765035064298,0.6778472547027908,High
Andorra,Andorra,42.5063,1.5218,47890,4.6802539055318055,0.5838488121412134,Moderate
Angola,Angola,-11.2027,17.8739,105288,5.022383000921082,0.6265284765299085,Moderate
Anguilla,United Kingdom,18.2206,-63.0686,3904,3.591621038213319,0.4480448537938809,Low
Anhui,China,31.8257,117.2264,2275,3.3571722577230334,0.4187980127548891,Low
Antarctica,Antarctica,-71.9499,23.347,11,1.0791812460476249,0.1346248945693441,Low
Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,9106,3.9593753365758433,0.4939211918286628,Low
Argentina,Argentina,-38.4161,-63.6167,10044957,7.001948125215042,0.8734737854177764,Critical
Armenia,Armenia,40.0691,45.0382,447308,5.6506076364043025,0.7048977732792154,High
Aruba,Netherlands,12.5211,-69.9683,44044,4.643896614322235,0.5793133399822583,Moderate
Australian Capital Territory,Australia,-35.4735,149.0124,232974,5.367309320405565,0.6695570869369699,High
Austria,Austria,47.5162,14.5501,5961143,6.775329612963522,0.8452037488219253,Critical
Azerbaijan,Azerbaijan,40.1431,47.5769,828825,5.918463366290419,0.7383120394442169,High
Bahamas,Bahamas,25.025885,-78.035889,37491,4.573938608354228,0.5705862710008273,Moderate
Bahrain,Bahrain,26.0275,50.55,710693,5.851682648947576,0.7299813284867465,High
Bangladesh,Bangladesh,23.685,90.3563,2037871,6.309176902222195,0.7870524792677139,Critical
Barbados,Barbados,13.1939,-59.5432,106798,5.028567186245767,0.6272999366533883,High
Beijing,China,40.1824,116.4142,40774,4.610393969712313,0.5751339771412868,Moderate
Belarus,Belarus,53.7098,27.9534,994037,5.997402986887119,0.7481595401667283,High
Belgium,Belgium,50.8333,4.469936,4739365,6.675720248611334,0.832777754371832,Critical
Belize,Belize,17.1899,-88.4976,70757,4.849775548923395,0.6049961712640641,Moderate
Benin,Benin,9.3077,2.3158,27999,4.447158031342219,0.55477074244509,Moderate
Bermuda,United Kingdom,32.3078,-64.7505,18828,4.274827255438105,0.5332729517615398,Moderate
Bhutan,Bhutan,27.5142,90.4336,62627,4.796768542903085,0.5983836929402833,Moderate
Bolivia,Bolivia,-16.2902,-63.5887,1194277,6.077105432164261,0.7581022011716811,Critical
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,11804,4.072065991414746,0.5079790413161326,Low
Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,401729,5.603934264761215,0.699075398437493,High
Botswana,Botswana,-22.3285,24.6849,329758,5.518196657431437,0.6883798675526931,High
Brazil,Brazil,-14.235,-51.9253,37076053,7.5690935060221305,0.94422361300816,Critical
British Columbia,Canada,53.7267,-127.6476,396817,5.598591363893864,0.6984088862379937,High
British Virgin Islands,United Kingdom,18.4207,-64.64,7305,3.863679667875898,0.4819834201553173,Low
Brunei,Brunei,4.5353,114.7277,279661,5.446633459179985,0.6794525552453945,High
Bulgaria,Bulgaria,42.7339,25.4858,1297523,6.11311539963893,0.7625943456492444,Critical
Burkina Faso,Burkina Faso,12.2383,-1.5616,22056,4.343546443188257,0.5418454815748932,Moderate
Burma,Burma,21.9162,95.956,633950,5.8020556912381895,0.7237905019004878,High
Burundi,Burundi,-3.3731,29.9189,53631,4.729423992614164,0.5899826453723515,Moderate
Cabo Verde,Cabo Verde,16.5388,-23.0418,63244,4.801026196911208,0.5989148235766387,Moderate
