ds,yhat,yhat_lower,yhat_upper
2020-01-28,0.0,0.0,94223.13274258457
2020-01-29,0.0,0.0,98139.86611538364
2020-01-30,0.0,0.0,100873.80758680077
2020-01-31,0.0,0.0,97885.26497414509
2020-02-01,0.0,0.0,96495.04991315026
2020-02-02,0.0,0.0,96470.35357205983
2020-02-03,0.0,0.0,104733.60889482203
2020-02-04,0.0,0.0,100892.44670266654
2020-02-05,0.0,0.0,96828.90404578457
2020-02-06,201.5608500890242,0.0,103460.54916164433
2020-02-07,488.2226317909816,0.0,104494.77944770662
2020-02-08,756.4827481272963,0.0,95853.70837083836
2020-02-09,1005.8203481627576,0.0,100883.1043767
2020-02-10,1236.453009709082,0.0,101976.0756239287
2020-02-11,1448.4922853735864,0.0,99468.20113199009
2020-02-12,1642.6059902175223,0.0,103456.77383691719
2020-02-13,1819.37356402627,0.0,99835.98859588482
2020-02-14,1979.0659798991137,0.0,98134.3820733729
2020-02-15,2124.6488579551574,0.0,99525.9981804784
2020-02-16,2255.6903945155827,0.0,98927.10212755651
2020-02-17,2374.469937824599,0.0,101503.1811558371
2020-02-18,2482.306485285978,0.0,104963.29330379609
2020-02-19,2581.504915549761,0.0,99652.5756912436
2020-02-20,2673.783051097638,0.0,105410.20852703908
2020-02-21,2760.095166158548,0.0,93933.67895706643
2020-02-22,2845.9728368781452,0.0,100934.10197685023
2020-02-23,2930.4758394441724,0.0,102807.79501486692
2020-02-24,3017.20261763642,0.0,95793.4411361282
2020-02-25,3107.7857465139314,0.0,102912.15466287163
2020-02-26,3205.119229484907,0.0,99735.21125171811
2020-02-27,3310.8581828151305,0.0,96086.97882158947
2020-02-28,3425.2912598931202,0.0,102260.00717944863
2020-02-29,3555.029411600224,0.0,102107.35449140871
2020-03-01,3697.0150845410294,0.0,106774.95914761105
2020-03-02,3854.455186872547,0.0,108259.33254182003
2020-03-03,4027.509319235813,0.0,107707.69794267022
2020-03-04,4217.828843248892,0.0,102167.87926888945
2020-03-05,5777.9795761437845,0.0,110127.22358215187
2020-03-06,7393.012380323352,0.0,118758.0627361519
2020-03-07,9082.765707196317,0.0,106817.83777311112
2020-03-08,10845.040084981929,0.0,111437.67007908931
2020-03-09,12688.84849801493,0.0,110849.77871024694
2020-03-10,14613.629950241448,0.0,118256.35701217582
2020-03-11,16621.41756482411,0.0,117715.76205990544
2020-03-12,18706.567691495955,0.0,115454.37705478944
2020-03-13,20854.021707942687,0.0,123732.55874626058
2020-03-14,23079.266928922894,0.0,119420.49454555879
2020-03-15,25347.370949188848,0.0,129316.30474164855
2020-03-16,27654.774127263565,0.0,119773.44399998848
2020-03-17,29981.514017065638,0.0,123015.8052403956
2020-03-18,32316.545893623206,0.0,132782.95099234927
2020-03-19,34639.012928769705,0.0,135685.51116692112
2020-03-20,36917.512937057545,0.0,126955.5737381087
2020-03-21,39173.423421692714,0.0,137857.5406471733
2020-03-22,41352.01931009055,0.0,138747.29240771141
2020-03-23,43452.54030547847,0.0,144301.8663756524
2020-03-24,45453.08361076782,0.0,153190.10032634434
2020-03-25,47348.66642703277,0.0,151206.60179813748
2020-03-26,49123.568670781024,0.0,146770.93884941156
2020-03-27,50751.0899637781,0.0,153636.38503899166
2020-03-28,52279.691614878735,0.0,153661.93751935492
2020-03-29,53655.63310825315,0.0,152936.8849177165
2020-03-30,54900.74825181287,0.0,161408.83711247361
2020-03-31,56009.45516541504,0.0,158397.19507123457
2020-04-01,56999.041200781256,0.0,155244.99303829865
2020-04-02,57872.60600288306,0.0,154703.4175391529
2020-04-03,58618.89871233073,0.0,149763.91441510295
2020-04-04,59320.942280549,0.0,152251.973172207
2020-04-05,59929.940804820704,0.0,157648.61603434887
2020-04-06,60490.612148093984,0.0,159191.21271922742
2020-04-07,61010.26462386832,0.0,157592.3586440501
2020-04-08,61521.35875774746,0.0,162255.75242765676
2020-04-09,62035.21023022544,0.0,166139.18671112412
2020-04-10,62542.168917057985,0.0,163830.445857266
2020-04-11,63143.08361836488,0.0,168824.47880333403
